PS C:\Users\Buddy\magic_beans_project\magic_beans_new> docker compose -f docker-compose.local.yml logs -f django
magicbeans_local_django  | wait-for-it: waiting 30 seconds for postgres:5432
magicbeans_local_django  | wait-for-it: postgres:5432 is available after 1 seconds
magicbeans_local_django  | PostgreSQL is available
magicbeans_local_django  | Operations to perform:
magicbeans_local_django  |   Apply all migrations: account, admin, auth, contenttypes, django_celery_beat, mfa, sessions, sites, socialaccount, users
magicbeans_local_django  | Running migrations:
magicbeans_local_django  |   Applying contenttypes.0001_initial... OK
magicbeans_local_django  |   Applying contenttypes.0002_remove_content_type_name... OK
magicbeans_local_django  |   Applying auth.0001_initial... OK
magicbeans_local_django  |   Applying auth.0002_alter_permission_name_max_length... OK
magicbeans_local_django  |   Applying auth.0003_alter_user_email_max_length... OK
magicbeans_local_django  |   Applying auth.0004_alter_user_username_opts... OK
magicbeans_local_django  |   Applying auth.0005_alter_user_last_login_null... OK
magicbeans_local_django  |   Applying auth.0006_require_contenttypes_0002... OK
magicbeans_local_django  |   Applying auth.0007_alter_validators_add_error_messages... OK
magicbeans_local_django  |   Applying auth.0008_alter_user_username_max_length... OK
magicbeans_local_django  |   Applying auth.0009_alter_user_last_name_max_length... OK
magicbeans_local_django  |   Applying auth.0010_alter_group_name_max_length... OK
magicbeans_local_django  |   Applying auth.0011_update_proxy_permissions... OK
magicbeans_local_django  |   Applying auth.0012_alter_user_first_name_max_length... OK
magicbeans_local_django  |   Applying users.0001_initial... OK
magicbeans_local_django  |   Applying account.0001_initial... OK
magicbeans_local_django  |   Applying account.0002_email_max_length... OK
magicbeans_local_django  |   Applying account.0003_alter_emailaddress_create_unique_verified_email... OK
magicbeans_local_django  |   Applying account.0004_alter_emailaddress_drop_unique_email... OK
magicbeans_local_django  |   Applying account.0005_emailaddress_idx_upper_email... OK
magicbeans_local_django  |   Applying account.0006_emailaddress_lower... OK
magicbeans_local_django  |   Applying account.0007_emailaddress_idx_email... OK
magicbeans_local_django  |   Applying account.0008_emailaddress_unique_primary_email_fixup... OK
magicbeans_local_django  |   Applying account.0009_emailaddress_unique_primary_email... OK
magicbeans_local_django  |   Applying admin.0001_initial... OK
magicbeans_local_django  |   Applying admin.0002_logentry_remove_auto_add... OK
magicbeans_local_django  |   Applying admin.0003_logentry_add_action_flag_choices... OK
magicbeans_local_django  |   Applying django_celery_beat.0001_initial... OK
magicbeans_local_django  |   Applying django_celery_beat.0002_auto_20161118_0346... OK
magicbeans_local_django  |   Applying django_celery_beat.0003_auto_20161209_0049... OK
magicbeans_local_django  |   Applying django_celery_beat.0004_auto_20170221_0000... OK
magicbeans_local_django  |   Applying django_celery_beat.0005_add_solarschedule_events_choices... OK
magicbeans_local_django  |   Applying django_celery_beat.0006_auto_20180322_0932... OK
magicbeans_local_django  |   Applying django_celery_beat.0007_auto_20180521_0826... OK
magicbeans_local_django  |   Applying django_celery_beat.0008_auto_20180914_1922... OK
magicbeans_local_django  |   Applying django_celery_beat.0006_auto_20180210_1226... OK
magicbeans_local_django  |   Applying django_celery_beat.0006_periodictask_priority... OK
magicbeans_local_django  |   Applying django_celery_beat.0009_periodictask_headers... OK
magicbeans_local_django  |   Applying django_celery_beat.0010_auto_20190429_0326... OK
magicbeans_local_django  |   Applying django_celery_beat.0011_auto_20190508_0153... OK
magicbeans_local_django  |   Applying django_celery_beat.0012_periodictask_expire_seconds... OK
magicbeans_local_django  |   Applying django_celery_beat.0013_auto_20200609_0727... OK
magicbeans_local_django  |   Applying django_celery_beat.0014_remove_clockedschedule_enabled... OK
magicbeans_local_django  |   Applying django_celery_beat.0015_edit_solarschedule_events_choices... OK
magicbeans_local_django  |   Applying django_celery_beat.0016_alter_crontabschedule_timezone... OK
magicbeans_local_django  |   Applying django_celery_beat.0017_alter_crontabschedule_month_of_year... OK
magicbeans_local_django  |   Applying django_celery_beat.0018_improve_crontab_helptext... OK
magicbeans_local_django  |   Applying django_celery_beat.0019_alter_periodictasks_options... OK
magicbeans_local_django  |   Applying mfa.0001_initial... OK
magicbeans_local_django  |   Applying mfa.0002_authenticator_timestamps... OK
magicbeans_local_django  |   Applying mfa.0003_authenticator_type_uniq... OK
magicbeans_local_django  |   Applying sessions.0001_initial... OK
magicbeans_local_django  |   Applying sites.0001_initial... OK
magicbeans_local_django  |   Applying sites.0002_alter_domain_unique... OK
magicbeans_local_django  |   Applying sites.0003_set_site_domain_and_name... OK
magicbeans_local_django  |   Applying sites.0004_alter_options_ordering_domain... OK
magicbeans_local_django  |   Applying socialaccount.0001_initial... OK
magicbeans_local_django  |   Applying socialaccount.0002_token_max_lengths... OK
magicbeans_local_django  |   Applying socialaccount.0003_extra_data_default_dict... OK
magicbeans_local_django  |   Applying socialaccount.0004_app_provider_id_settings... OK
magicbeans_local_django  |   Applying socialaccount.0005_socialtoken_nullable_app... OK
magicbeans_local_django  |   Applying socialaccount.0006_alter_socialaccount_extra_data... OK
magicbeans_local_django  | INFO:     Will watch for changes in these directories: ['/app']
magicbeans_local_django  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
magicbeans_local_django  | INFO:     Started reloader process [1] using WatchFiles
magicbeans_local_django  | INFO:     Started server process [23]
magicbeans_local_django  | INFO:     Waiting for application startup.
magicbeans_local_django  | INFO:     ASGI 'lifespan' protocol appears unsupported.
magicbeans_local_django  | INFO:     Application startup complete.
magicbeans_local_django  | INFO:     172.18.0.1:38614 - "GET /admin/ HTTP/1.1" 302 Found
magicbeans_local_django  | INFO:     172.18.0.1:38614 - "GET /admin/login/?next=/admin/ HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:38614 - "GET /static/admin/css/base.css HTTP/1.1" 200 OK
magicbeans_local_django  | /usr/local/lib/python3.12/site-packages/django/http/response.py:517: Warning: StreamingHttpResponse must consume synchronous iterators in order to serve them asynchronously. Use an asynchronous iterator instead.
magicbeans_local_django  |   warnings.warn(
